case_id,status,employer,soc_name,job_title,full_time,wage
104,CERTIFIED-WITHDRAWN,CONOCOPHILLIPS COMPANY,MECHANICAL ENGINEERS,SENIOR COMPLETION ENGINEER,Y,124030
105,CERTIFIED,"LANYON SOLUTIONS, INC.",COMPUTER PROGRAMMERS,ASSOCIATE DEVELOPER,Y,48110
106,CERTIFIED-WITHDRAWN,ALCOHOL MONITORING SYSTEMS INC,COMPUTER PROGRAMMERS,SOFTWARE DEVELOPER,Y,54246
107,CERTIFIED,"PERKINS + WILL, INC.","ARCHITECTS, EXCEPT LANDSCAPE AND NAVAL",INTERN ARCHITECT II,Y,53976
108,CERTIFIED-WITHDRAWN,"TECHNIP USA, INC.",CIVIL ENGINEERS,STAFF SPECIALIST,Y,77085
109,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,WEB DEVELOPERS,WEB DEVELOPER,Y,37586
110,CERTIFIED,"ELEMICA, INC.",MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS,ASSOCIATE PRODUCT MANAGER,Y,50794
111,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,COMPUTER PROGRAMMERS,COMPUTER PROGRAMMER,Y,63981
112,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,COMPUTER PROGRAMMERS,COMPUTER PROGRAMMER,Y,63981
113,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,COMPUTER PROGRAMMERS,COMPUTER PROGRAMMER,Y,63523
114,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,WEB DEVELOPERS,DEVELOPER USER INTERFACE,Y,56368
115,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,"COMPUTER OCCUPATIONS, ALL OTHER",COMPUTER SYSTEMS ENGINEER/ARCHITECT,Y,65291
116,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,COMPUTER PROGRAMMERS,COMPUTER PROGRAMMER,Y,67059
117,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,WEB DEVELOPERS,WEB DEVELOPER,Y,51480
118,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,"COMPUTER OCCUPATIONS, ALL OTHER",ARCHITECT,Y,52354
119,WITHDRAWN,NICO HOLDINGS LLC,OPERATIONS RESEARCH ANALYSTS,FINANCIAL ENGINEER - MODELING,Y,59862
120,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,COMPUTER PROGRAMMERS,DEVELOPER,Y,65749
121,CERTIFIED-WITHDRAWN,COLUMBIA UNIVERSITY,"LIFE SCIENTISTS, ALL OTHER",POSTDOCTORAL RESEARCH SCIENTIST,Y,35908.6
122,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,WEB DEVELOPERS,WEB DEVELOPER,Y,70325
123,CERTIFIED-WITHDRAWN,CERNER CORPORATION,"SOFTWARE DEVELOPERS, APPLICATIONS",SOFTWARE ENGINEER,Y,54226
124,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,COMPUTER PROGRAMMERS,COMPUTER PROGRAMMER,Y,74630
125,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,COMPUTER SYSTEMS ANALYSTS,COMPUTER SYSTEMS ANALYST,Y,76627
126,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,COMPUTER PROGRAMMERS,DEVELOPER,Y,77522
127,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,COMPUTER PROGRAMMERS,COMPUTER PROGRAMMER,Y,47299
128,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,"COMPUTER OCCUPATIONS, ALL OTHER",ARCHITECT,Y,82784
129,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,COMPUTER PROGRAMMERS,DEVELOPER,Y,63523
130,CERTIFIED-WITHDRAWN,"OLAM AMERICAS, INC.","TRANSPORTATION, STORAGE, AND DISTRIBUTION MANAGERS",SAP LOGISTICS MANAGER,Y,81016
131,CERTIFIED,FEDERAL HOME LOAN MORTGAGE CORPORATION,OPERATIONS RESEARCH ANALYSTS,ECONOMIC AND FINANCIAL MODELING SENIOR,Y,64085
132,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,"COMPUTER OCCUPATIONS, ALL OTHER",DATA WAREHOUSING SPECIALIST,Y,57886
133,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,"COMPUTER OCCUPATIONS, ALL OTHER",DATA WAREHOUSING SPECIALIST,Y,57886
134,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,WEB DEVELOPERS,DEVELOPER USER INTERFACE,Y,53747
135,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,COMPUTER PROGRAMMERS,COMPUTER PROGRAMMER,Y,57928
136,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,COMPUTER PROGRAMMERS,DEVELOPER,Y,66602
137,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,COMPUTER SYSTEMS ANALYSTS,FINANCE & CONTROLLING SYSTEMS ANALYST,Y,64979
138,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,"COMPUTER OCCUPATIONS, ALL OTHER",ANALYST - TESTING,Y,64314
139,WITHDRAWN,SONY ERICSSON MOBILE COMMUNICATIONS (USA) INC.,GRAPHIC DESIGNERS,TECHNICAL ARTIST,Y,90397
140,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,WEB DEVELOPERS,DEVELOPER USER INTERFACE,Y,57096
141,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,"COMPUTER OCCUPATIONS, ALL OTHER",ARCHITECT,Y,71219
142,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,COMPUTER PROGRAMMERS,DEVELOPER,Y,61589
143,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,WEB DEVELOPERS,WEB DEVELOPER,Y,70325
144,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,WEB DEVELOPERS,DEVELOPER USER INTERFACE,Y,54330
145,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,COMPUTER PROGRAMMERS,DEVELOPER,Y,51480
146,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,WEB DEVELOPERS,DEVELOPER USER INTERFACE,Y,70325
147,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,"COMPUTER OCCUPATIONS, ALL OTHER",ARCHITECT,Y,71219
148,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,WEB DEVELOPERS,DEVELOPER USER INTERFACE,Y,54330
149,CERTIFIED-WITHDRAWN,"WELLPOINT, INC.",TRAINING AND DEVELOPMENT SPECIALISTS,ELEARNING DESIGNER,Y,38230
150,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,COMPUTER PROGRAMMERS,COMPUTER PROGRAMMER,Y,70429
151,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,WEB DEVELOPERS,DEVELOPER USER INTERFACE,Y,53747
152,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,"COMPUTER OCCUPATIONS, ALL OTHER",ETL DEVELOPER,Y,65291
153,CERTIFIED-WITHDRAWN,HITACHI DATA SYSTEMS CORPORATION,"SOFTWARE DEVELOPERS, APPLICATIONS",SOFTWARE DEVELOPMENT ENGINEER,Y,71906
154,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,COMPUTER PROGRAMMERS,DEVELOPER,Y,63523
155,CERTIFIED,MCGLADREY LLP,ACCOUNTANTS AND AUDITORS,ASSURANCE MANAGER,Y,74464
156,CERTIFIED,"ILLUSTRIA, INC.",GRAPHIC DESIGNERS,GRAPHIC DESIGNER,Y,35402
157,CERTIFIED,"LOYAL3 HOLDINGS, INC.","SOFTWARE DEVELOPERS, APPLICATIONS","SENIOR SOFTWARE ENGINEER, DEVOPS",Y,134638
158,CERTIFIED-WITHDRAWN,OZARKS MEDICAL CENTER,MENTAL HEALTH AND SUBSTANCE ABUSE SOCIAL WORKERS,MENTAL HEALTH THERAPIST,Y,24835
159,CERTIFIED-WITHDRAWN,"TRIQUINT SEMICONDUCTOR, INC.",MATERIALS ENGINEERS,PACKAGING ENGINEER,Y,80621
160,CERTIFIED,EDUCATIONAL TESTING SERVICE,STATISTICIANS,PSYCHOMETRICIAN,Y,69326
161,CERTIFIED,"CONCORD, INC.","SOFTWARE DEVELOPERS, APPLICATIONS",DEVELOPER,Y,50565
162,CERTIFIED-WITHDRAWN,PROGRESSIVE STEP CORP.,PHYSICAL THERAPISTS,PHYSICAL THERAPIST,Y,64147.2
163,CERTIFIED,CONOCOPHILLIPS COMPANY,GEOLOGICAL AND PETROLEUM TECHNICIANS,PETROPHYSICIST,Y,65520
164,WITHDRAWN,"LAND-O-SUN DAIRIES, LLC",INDUSTRIAL MACHINERY MECHANICS,INDUSTRIAL/PACKAGING ENGINEER,Y,37003
165,CERTIFIED,"VMWARE, INC.","SOFTWARE DEVELOPERS, APPLICATIONS",MEMBER OF TECHNICAL STAFF - CONTINUING PRODUCT DEVELOPMENT,Y,98557
166,CERTIFIED,"VMWARE, INC.","SOFTWARE DEVELOPERS, APPLICATIONS",SENIOR MEMBER OF TECHNICAL STAFF - SOFTWARE ENGINEERING,Y,113775
167,CERTIFIED,SAPHIRE SOLUTIONS INC,NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS,SYSTEMS ADMINISTRATOR,Y,69638
168,WITHDRAWN,BROADCOM CORPORATION,"ELECTRONICS ENGINEERS, EXCEPT COMPUTER","IT ENGINEER, PRINCIPAL",Y,111134
169,CERTIFIED,"PIONEER HI-BRED INTERNATIONAL, INC.",SOIL AND PLANT SCIENTISTS,FIELD OPERATIONS MANAGER,Y,62546
170,CERTIFIED,SHELL INTERNATIONAL EXPLORATION AND PRODUCTION INC.,CHEMICAL ENGINEERS,RESEACH ENGINEER FLOW ASSURANCE,Y,109391
171,CERTIFIED,CONOCOPHILLIPS COMPANY,"TRANSPORTATION, STORAGE, AND DISTRIBUTION MANAGERS",COMMERCIAL MARINE COORDINATOR,Y,80400
172,CERTIFIED,CONOCOPHILLIPS COMPANY,PETROLEUM ENGINEERS,RESERVOIR ENGINEER,Y,94557
173,CERTIFIED-WITHDRAWN,PFIZER INC,NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS,OPERATIONS SUPPORT MANAGER,Y,78666
174,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,WEB DEVELOPERS,WEB DEVELOPER,Y,60632
175,CERTIFIED,FEDERAL HOME LOAN MORTGAGE CO.,OPERATIONS RESEARCH ANALYSTS,ECONOMIC AND FINANCIAL MODELING SENIOR,Y,64085
176,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,WEB DEVELOPERS,DEVELOPER USER INTERFACE,Y,60632
177,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,WEB DEVELOPERS,DEVELOPER USER INTERFACE,Y,60632
178,CERTIFIED-WITHDRAWN,VINSYS INFORMATION TECHNOLOGY INC,COMPUTER PROGRAMMERS,COMPUTER PROGRAMMER/ANALYST,Y,67995
179,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,COMPUTER PROGRAMMERS,DEVELOPER,Y,60278
180,CERTIFIED-WITHDRAWN,"EXLSERVICE.COM, LLC",STATISTICIANS,PROJECT MANAGER,Y,86174
181,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,DATABASE ADMINISTRATORS,DATABASE ADMINISTRATOR,Y,62837
182,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,COMPUTER SYSTEMS ANALYSTS,ANALYST,Y,61339
183,WITHDRAWN,PHILLIPS 66 COMPANY,ENVIRONMENTAL ENGINEERS,SR. ENVIRONMENTAL ENGINEER,Y,75298
184,CERTIFIED,E.I. DU PONT DE NEMOURS AND COMPANY,STATISTICIANS,RESEARCH INVESTIGATOR,Y,76606
185,CERTIFIED,TATA CONSULTANCY SERVICES LIMITED,NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS,MIDDLEWARE ADMINISTRATOR,Y,78957
186,CERTIFIED-WITHDRAWN,JOHNS HOPKINS UNIVERSITY,BIOCHEMISTS AND BIOPHYSICISTS,POSTDOCTORAL RESEARCH FELLOW,Y,35464
